Cloud_Usage,IoT_Devices,ERP_System,AI_Usage,Automation_Level,Maturity_Stage
Yes,80,No,No,Low,Digitalization
No,271,Yes,Yes,High,Intelligent Automation
No,264,Yes,Yes,Medium,Intelligent Automation
No,89,No,No,Very High,Digitalization
Yes,62,Yes,No,High,Digitalization
Yes,178,No,Yes,High,Intelligent Automation
Yes,107,No,No,High,Integration
No,116,No,No,Low,Integration
No,110,No,Yes,High,Integration
No,9,Yes,Yes,Low,Digitization
Yes,100,Yes,Yes,High,Integration
Yes,43,Yes,No,Medium,Digitalization
Yes,124,No,Yes,Very High,Integration
No,47,No,Yes,Very High,Digitalization
Yes,72,Yes,Yes,Medium,Digitalization
No,74,No,No,High,Digitalization
No,32,No,Yes,Low,Digitization
Yes,245,Yes,Yes,High,Intelligent Automation
Yes,64,No,No,Medium,Digitalization
No,19,Yes,Yes,Low,Digitization
Yes,227,No,No,High,Intelligent Automation
Yes,26,No,No,High,Digitization
Yes,296,No,No,High,Intelligent Automation
No,250,Yes,No,High,Intelligent Automation
No,153,Yes,No,Medium,Intelligent Automation
Yes,48,No,No,High,Digitalization
No,300,No,Yes,Low,Intelligent Automation
Yes,223,Yes,No,Medium,Intelligent Automation
Yes,150,No,No,Medium,Intelligent Automation
Yes,227,No,No,High,Intelligent Automation
No,118,No,No,High,Integration
No,136,Yes,Yes,High,Integration
No,254,Yes,No,High,Intelligent Automation
No,170,No,No,Low,Intelligent Automation
No,50,Yes,No,High,Digitalization
No,53,No,Yes,Medium,Digitalization
No,116,Yes,Yes,High,Integration
Yes,155,No,No,Low,Intelligent Automation
No,176,No,No,Low,Intelligent Automation
No,280,No,Yes,Very High,Intelligent Automation
No,14,No,No,High,Digitization
No,297,No,No,Medium,Intelligent Automation
Yes,183,Yes,No,Low,Intelligent Automation
No,31,No,No,Medium,Digitization
Yes,267,No,Yes,Medium,Intelligent Automation
No,229,No,No,High,Intelligent Automation
Yes,97,Yes,No,Very High,Integration
No,279,No,Yes,Very High,Intelligent Automation
No,97,No,No,Medium,Integration
Yes,156,Yes,No,High,Intelligent Automation
No,25,No,No,Very High,Digitization
No,148,No,No,Very High,Integration
No,196,No,No,Very High,Intelligent Automation
